locality,trip_category,count
Iż-Żurrieq,Others,120
Iż-Żurrieq,Personal Errands,14
Iż-Żurrieq,Recreation,110
Iż-Żurrieq,Shopping,19
L-Għarb,Commuting to work,2
L-Għarb,Education,5
L-Għarb,Medical Purpose,1
L-Għarb,Others,31
L-Għarb,Personal Errands,10
L-Għarb,Recreation,83
L-Għarb,Shopping,2
L-Għasri,Education,1
L-Għasri,Others,18
L-Għasri,Personal Errands,3
L-Għasri,Recreation,84
L-Għasri,Shopping,1
L-Iklin,Commuting to work,1
L-Iklin,Others,37
L-Iklin,Personal Errands,2
L-Iklin,Recreation,95
L-Iklin,Shopping,28
L-Imdina,Commuting to work,2
L-Imdina,Others,74
L-Imdina,Personal Errands,6
L-Imdina,Recreation,111
L-Imdina,Shopping,11
L-Imqabba,Commuting to work,2
L-Imqabba,Education,2
L-Imqabba,Others,43
L-Imqabba,Personal Errands,3
L-Imqabba,Recreation,29
L-Imqabba,Shopping,2
L-Imsida,Commuting to work,30
L-Imsida,Education,70
L-Imsida,Medical Purpose,9
L-Imsida,Others,136
L-Imsida,Personal Errands,18
L-Imsida,Recreation,124
L-Imsida,Shopping,93
L-Imtarfa,Education,4
L-Imtarfa,Others,29
L-Imtarfa,Personal Errands,4
L-Imtarfa,Recreation,23
L-Imtarfa,Shopping,1
L-Imġarr,Commuting to work,2
L-Imġarr,Education,2
L-Imġarr,Medical Purpose,2
L-Imġarr,Others,120
L-Imġarr,Personal Errands,10
L-Imġarr,Recreation,107
L-Imġarr,Shopping,11
L-Imġarr,Visiting Someone,1
L-Isla,Commuting to work,2
L-Isla,Education,3
L-Isla,Medical Purpose,1
L-Isla,Others,43
L-Isla,Personal Errands,10
L-Isla,Recreation,66
L-Isla,Shopping,20
Marsaxlokk,Commuting to work,4
Marsaxlokk,Education,7
Marsaxlokk,Medical Purpose,2
Marsaxlokk,Others,148
Marsaxlokk,Personal Errands,14
Marsaxlokk,Recreation,137
Marsaxlokk,Shopping,16
Pembroke,Commuting to work,5
Pembroke,Education,14
Pembroke,Medical Purpose,2
Pembroke,Others,138
Pembroke,Personal Errands,3
Pembroke,Recreation,113
Pembroke,Shopping,5
Raħal Ġdid,Commuting to work,52
Raħal Ġdid,Education,28
Raħal Ġdid,Medical Purpose,7
Raħal Ġdid,Others,139
Raħal Ġdid,Personal Errands,20
Raħal Ġdid,Recreation,95
Raħal Ġdid,Shopping,43
San Lawrenz,Education,2
San Lawrenz,Others,33
San Lawrenz,Personal Errands,2
San Lawrenz,Recreation,64
San Lawrenz,Shopping,2
San Pawl il-Baħar,Commuting to work,17
San Pawl il-Baħar,Education,18
San Pawl il-Baħar,Medical Purpose,14
San Pawl il-Baħar,Others,242
San Pawl il-Baħar,Personal Errands,59
San Pawl il-Baħar,Recreation,553
San Pawl il-Baħar,Shopping,224
San Ġiljan,Commuting to work,15
San Ġiljan,Education,16
San Ġiljan,Medical Purpose,9
San Ġiljan,Others,174
San Ġiljan,Personal Errands,20
San Ġiljan,Recreation,372
San Ġiljan,Shopping,61
San Ġwann,Commuting to work,31
San Ġwann,Education,4
San Ġwann,Medical Purpose,5
San Ġwann,Others,120
San Ġwann,Personal Errands,16
San Ġwann,Recreation,109
San Ġwann,Shopping,67
Santa Luċija,Commuting to work,3
Santa Luċija,Education,2
Santa Luċija,Others,42
Santa Luċija,Personal Errands,7
Santa Luċija,Recreation,23
Santa Luċija,Shopping,3
Santa Venera,Commuting to work,9
Santa Venera,Education,9
Santa Venera,Medical Purpose,2
Santa Venera,Others,58
Santa Venera,Personal Errands,9
Santa Venera,Recreation,32
Santa Venera,Shopping,17
Ta' Kerċem,Education,8
Ta' Kerċem,Others,19
Ta' Kerċem,Personal Errands,3
Ta' Kerċem,Recreation,254
Ta' Kerċem,Shopping,5
Ta' Sannat,Commuting to work,2
Ta' Sannat,Education,2
Ta' Sannat,Medical Purpose,1
Ta' Sannat,Others,16
Ta' Sannat,Personal Errands,4
Ta' Sannat,Recreation,70
Ta' Sannat,Shopping,5
Ta' Xbiex,Commuting to work,21
Ta' Xbiex,Medical Purpose,3
Ta' Xbiex,Others,12
Ta' Xbiex,Personal Errands,5
Ta' Xbiex,Recreation,37
Ta' Xbiex,Shopping,12
Tal-Pietà,Commuting to work,9
Tal-Pietà,Education,8
Tal-Pietà,Medical Purpose,11
Tal-Pietà,Others,45
Tal-Pietà,Personal Errands,4
Tal-Pietà,Recreation,33
Tal-Pietà,Shopping,24
Tas-Sliema,Commuting to work,14
Tas-Sliema,Education,10
Tas-Sliema,Medical Purpose,8
Tas-Sliema,Others,126
Tas-Sliema,Personal Errands,34
Tas-Sliema,Recreation,333
Tas-Sliema,Shopping,154
Wied il-Għajn,Commuting to work,2
Wied il-Għajn,Education,4
Wied il-Għajn,Medical Purpose,2
Wied il-Għajn,Others,148
Wied il-Għajn,Personal Errands,12
Wied il-Għajn,Recreation,165
Wied il-Għajn,Shopping,19
Ħ'Attard,Commuting to work,38
Ħ'Attard,Education,9
Ħ'Attard,Medical Purpose,13
Ħ'Attard,Others,201
Ħ'Attard,Personal Errands,29
Ħ'Attard,Recreation,215
Ħ'Attard,Shopping,69
Ħad-Dingli,Commuting to work,1
Ħad-Dingli,Education,5
Ħad-Dingli,Others,56
Ħad-Dingli,Personal Errands,6
Ħad-Dingli,Recreation,73
Ħad-Dingli,Shopping,5
Ħal Balzan,Commuting to work,14
Ħal Balzan,Education,5
Ħal Balzan,Medical Purpose,2
Ħal Balzan,Others,39
Ħal Balzan,Personal Errands,10
Ħal Balzan,Recreation,66
Ħal Balzan,Shopping,32
Ħal Għargħur,Education,2
Ħal Għargħur,Medical Purpose,1
Ħal Għargħur,Others,52
Ħal Għargħur,Personal Errands,6
Ħal Għargħur,Recreation,71
Ħal Għargħur,Shopping,2
Ħal Għaxaq,Commuting to work,5
Ħal Għaxaq,Education,4
Ħal Għaxaq,Medical Purpose,3
Ħal Għaxaq,Others,85
Ħal Għaxaq,Personal Errands,8
Ħal Għaxaq,Recreation,42
Ħal Għaxaq,Shopping,15
Ħal Kirkop,Commuting to work,4
Ħal Kirkop,Education,7
Ħal Kirkop,Others,36
Ħal Kirkop,Personal Errands,3
Ħal Kirkop,Recreation,22
Ħal Lija,Commuting to work,5
Ħal Lija,Education,2
Ħal Lija,Medical Purpose,1
Ħal Lija,Others,23
Ħal Lija,Personal Errands,13
Ħal Lija,Recreation,68
Ħal Lija,Shopping,10
Ħal Luqa,Commuting to work,17
Ħal Luqa,Education,5
Ħal Luqa,Medical Purpose,3
Ħal Luqa,Others,375
Ħal Luqa,Personal Errands,41
Ħal Luqa,Recreation,79
